candidate_id,rank,score,reasoning
CAND_0037000,84,0.777462,"Search Engineer at Unacademy with 2.7 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and FAISS; based in Noida, Uttar Pradesh, available with notice. One concern: only 2.7 years of experience (JD asks for 5–9)."
CAND_0030468,85,0.776924,"Senior Applied Scientist at Swiggy with 5.4 years building retrieval and ranking systems, with validated depth in Milvus and OpenSearch; based in Indore, Madhya Pradesh, actively open to work."
CAND_0041568,86,0.776751,"Search Engineer at Haptik with 5.2 years building retrieval and ranking systems, with validated depth in BM25, Pinecone and Qdrant; based in Sydney, actively open to work."
CAND_0095528,87,0.776528,"Title is 'Senior Data Scientist' but career history shows 6 retrieval/ranking signal(s) and skills include Elasticsearch, OpenSearch and Python; 5.3 years of experience, based in Indore, Madhya Pradesh."
CAND_0069905,88,0.776305,"Applied ML Engineer at Sarvam AI with 6.6 years building retrieval and ranking systems, with validated depth in Learning to Rank, Python and Sentence Transformers; based in Bhubaneswar, Odisha, actively open to work."
CAND_0024466,89,0.775446,"Search Engineer at PharmEasy with 5.2 years building retrieval and ranking systems, with validated depth in BM25, Pinecone and Sentence Transformers; based in Toronto, actively open to work."
CAND_0006418,90,0.775417,"Machine Learning Engineer at Verloop.io with 5.7 years of experience; career descriptions show 3 retrieval/ranking signal(s) and 4 production deployment mention(s), though fewer formally listed skills match the JD's must-haves."
CAND_0016163,91,0.774988,"Applied ML Engineer at Dream11 with 6.7 years building retrieval and ranking systems, with validated depth in Embeddings, Pinecone and Weaviate; based in Gurgaon, Haryana, actively open to work."
CAND_0083307,92,0.773464,"Search Engineer at CRED with 7.8 years building retrieval and ranking systems, with validated depth in Embeddings, Learning to Rank and Pinecone; based in Vizag, Andhra Pradesh, actively open to work."
CAND_0066999,93,0.772048,"Recommendation Systems Engineer at Microsoft with 5.9 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and FAISS; based in Delhi, Delhi, actively open to work."
CAND_0064904,94,0.770689,"Title is 'AI Engineer' but career history shows 6 retrieval/ranking signal(s) and skills include Elasticsearch, Embeddings and OpenSearch; 4.9 years of experience, based in Hyderabad, Telangana."
CAND_0094056,95,0.762833,"NLP Engineer at Rephrase.ai with 5.9 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and Learning to Rank; based in Chennai, Tamil Nadu, available with notice."
CAND_0005649,96,0.760423,"Title is 'Senior Data Scientist' but career history shows 14 retrieval/ranking signal(s) and skills include Information Retrieval, RAG and Weaviate; 7.4 years of experience, based in Delhi, Delhi."
CAND_0044855,97,0.759436,"Title is 'Senior Data Scientist' but career history shows 14 retrieval/ranking signal(s) and skills include Embeddings, Information Retrieval and Learning to Rank; 6.6 years of experience, based in Coimbatore, Tamil Nadu."
CAND_0078042,98,0.757646,"Applied ML Engineer at PolicyBazaar with 4.7 years building retrieval and ranking systems, with validated depth in OpenSearch, Pinecone and Sentence Transformers; based in Dubai, available with notice."
CAND_0039521,99,0.756154,"Search Engineer at Salesforce with 3 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and Qdrant; based in Coimbatore, Tamil Nadu, available with notice. One concern: only 3 years of experience (JD asks for 5–9)."
CAND_0045250,100,0.754512,"Applied ML Engineer at Rephrase.ai with 6.6 years of experience; career descriptions show 3 retrieval/ranking signal(s) and 4 production deployment mention(s), though fewer formally listed skills match the JD's must-haves."
